redshift, SNIa_rate
-1.8211e-3, 0.1971
2.6465e-3, 0.197
7.114e-3, 0.197
0.0116, 0.2
0.0116, 0.2029
0.0161, 0.2029
0.0205, 0.2029
0.025, 0.2059
0.0295, 0.2059
0.0339, 0.2088
0.0384, 0.2117
0.0429, 0.2117
0.0474, 0.2147
0.0518, 0.2176
0.0563, 0.2176
0.0608, 0.2206
0.0652, 0.2206
0.0697, 0.2235
0.0742, 0.2264
0.0787, 0.2294
0.0831, 0.2294
0.0876, 0.2294
0.0921, 0.2294
0.0921, 0.2323
0.0965, 0.2323
0.0965, 0.2353
0.101, 0.2382
0.101, 0.2412
0.101, 0.2441
0.1055, 0.2441
0.11, 0.2441
0.1144, 0.2441
0.1189, 0.2441
0.1234, 0.2469
0.1279, 0.25
0.1323, 0.2529
0.1368, 0.2559
0.1413, 0.2588
0.1457, 0.2617
0.1502, 0.2647
0.1547, 0.2647
0.1592, 0.2647
0.1636, 0.2647
0.1681, 0.2676
0.1726, 0.2706
0.177, 0.2735
0.1815, 0.2764
0.186, 0.2764
0.1905, 0.2793
0.1949, 0.2823
0.1994, 0.2852
0.1994, 0.2882
0.2039, 0.2882
0.2083, 0.2882
0.2128, 0.2911
0.2173, 0.2941
0.2218, 0.297
0.2262, 0.297
0.2307, 0.3
0.2352, 0.3029
0.2397, 0.3059
0.2441, 0.3059
0.2486, 0.3088
0.253, 0.3117
0.2575, 0.3147
0.262, 0.3176
0.2665, 0.3206
0.271, 0.3235
0.2753, 0.3265
0.2799, 0.3265
0.2844, 0.3294
0.2889, 0.3323
0.2933, 0.3353
0.2978, 0.3353
0.2978, 0.3382
0.3023, 0.3412
0.3067, 0.3412
0.3112, 0.3441
0.3157, 0.3471
0.3202, 0.35
0.3246, 0.3529
0.3291, 0.3559
0.3336, 0.3588
0.3381, 0.3618
0.3425, 0.3647
0.347, 0.3647
0.3515, 0.3677
0.3559, 0.3706
0.3604, 0.3735
0.3649, 0.3765
0.3694, 0.3794
0.3694, 0.3824
0.3738, 0.3824
0.3783, 0.3853
0.3783, 0.3883
0.3828, 0.3883
0.3828, 0.3912
0.3873, 0.3912
0.3917, 0.3912
0.3961, 0.3942
0.4007, 0.3971
0.4052, 0.4
0.4096, 0.403
0.4096, 0.4059
0.4096, 0.4089
0.4141, 0.4118
0.4186, 0.4148
0.4231, 0.4177
0.4275, 0.4207
0.432, 0.4236
0.4365, 0.4236
0.4365, 0.4266
0.441, 0.4264
0.4454, 0.4295
0.4454, 0.4324
0.4499, 0.4324
0.4499, 0.4354
0.4499, 0.4383
0.4544, 0.4383
0.4588, 0.4413
0.4633, 0.4442
0.4678, 0.4472
0.4723, 0.4472
0.4767, 0.4471
0.4812, 0.4501
0.4857, 0.453
0.4902, 0.456
0.4946, 0.4588
0.499, 0.4619
0.5036, 0.4647
0.5036, 0.4678
0.5081, 0.4678
0.5125, 0.4707
0.5125, 0.4737
0.517, 0.4736
0.5215, 0.4766
0.5259, 0.4795
0.5304, 0.4825
0.5349, 0.4854
0.5394, 0.4884
0.5394, 0.4913
0.5438, 0.4943
0.5439, 0.4971
0.5483, 0.4971
0.5483, 0.5002
0.5528, 0.503
0.5573, 0.5061
0.5617, 0.509
0.5662, 0.509
0.5662, 0.5119
0.5707, 0.5149
0.5752, 0.5149
0.5752, 0.5178
0.5796, 0.5208
0.584, 0.5237
0.5886, 0.5267
0.5931, 0.5295
0.5975, 0.5326
0.6019, 0.5325
0.6019, 0.5354
0.6065, 0.5354
0.6065, 0.5384
0.611, 0.5384
0.6154, 0.5413
0.6199, 0.5443
0.6244, 0.5473
0.6244, 0.5502
0.6244, 0.5532
0.6289, 0.5561
0.6333, 0.5591
0.6378, 0.559
0.6423, 0.562
0.6423, 0.5649
0.6468, 0.5649
0.6468, 0.5678
0.6512, 0.5708
0.6557, 0.5737
0.6602, 0.5767
0.6646, 0.5796
0.6691, 0.5826
0.6736, 0.5856
0.6736, 0.5885
0.6781, 0.5915
0.6825, 0.5944
0.687, 0.5973
0.6915, 0.6002
0.696, 0.6032
0.7005, 0.6061
0.7048, 0.6091
0.7094, 0.612
0.7139, 0.612
0.7139, 0.615
0.7183, 0.615
0.7586, 0.6474
0.7631, 0.6474
0.7675, 0.6474
0.772, 0.6503
0.7765, 0.6533
0.781, 0.6562
0.7854, 0.6592
0.7899, 0.6621
0.7944, 0.6651
0.7989, 0.668
0.8033, 0.6709
0.8077, 0.6739
0.8123, 0.6768
0.8168, 0.6798
0.8212, 0.6827
0.8256, 0.6827
0.8302, 0.6857
0.8302, 0.6886
0.8347, 0.6916
0.8347, 0.6945
0.8391, 0.6945
0.8391, 0.6974
0.8436, 0.6974
0.8481, 0.6974
0.8481, 0.7004
0.8526, 0.7033
0.8526, 0.7063
0.857, 0.7063
0.857, 0.7092
0.8615, 0.7122
0.866, 0.7151
0.8705, 0.7181
0.8749, 0.721
0.8794, 0.7239
0.8839, 0.7269
0.8883, 0.7298
0.8928, 0.7298
0.8973, 0.7298
0.9018, 0.7328
0.9062, 0.7328
