# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
6.779513200e-02 2.288359130e+01 3.195773513e+01 2.796533928e+01
6.936163884e-02 2.400086834e+01 3.368255849e+01 2.929975205e+01
7.555319684e-02 2.865944012e+01 4.097090481e+01 3.484145796e+01
7.971653895e-02 3.196955231e+01 4.624073334e+01 3.875734835e+01
8.220745410e-02 3.402147229e+01 4.954099181e+01 4.117635036e+01
9.207461839e-02 4.256688918e+01 6.354276858e+01 5.118197752e+01
9.270330213e-02 4.313216713e+01 6.448245385e+01 5.184007065e+01
1.015348065e-01 5.162832577e+01 7.872695015e+01 6.169086456e+01
1.265019547e-01 7.947962273e+01 1.269149690e+02 9.343709096e+01
1.268870552e-01 7.988488824e+01 1.276400006e+02 9.389016095e+01
1.301113102e-01 8.334980762e+01 1.338441334e+02 9.775893324e+01
1.396304588e-01 9.355938387e+01 1.523092161e+02 1.090644320e+02
1.630165135e-01 1.126732912e+02 1.885397286e+02 1.294085832e+02
1.869758667e-01 1.310932436e+02 2.239210843e+02 1.483235789e+02
1.890594994e-01 1.324368982e+02 2.265499152e+02 1.496501242e+02
1.941078475e-01 1.352902716e+02 2.322146257e+02 1.523969878e+02
1.955491798e-01 1.358842752e+02 2.334480575e+02 1.529297479e+02
2.020523727e-01 1.373927325e+02 2.369563396e+02 1.540083592e+02
2.149873859e-01 1.374581061e+02 2.386188778e+02 1.528639009e+02
2.295073041e-01 1.332480750e+02 2.326042278e+02 1.468780744e+02
2.446624036e-01 1.226917163e+02 2.150472263e+02 1.340098170e+02
2.568315910e-01 1.121040222e+02 1.968982287e+02 1.215551596e+02
2.802466506e-01 1.024833353e+02 1.802454742e+02 1.095873015e+02
2.813937378e-01 1.024321213e+02 1.801525969e+02 1.094582992e+02
2.970574325e-01 9.976869913e+01 1.753075012e+02 1.056333495e+02
3.091647102e-01 6.240235430e+01 1.094791546e+02 6.560393065e+01
3.226707868e-01 5.908324979e+01 1.033934117e+02 6.162793999e+01
3.232347226e-01 5.874690628e+01 1.027921381e+02 6.125704654e+01
3.392009415e-01 5.211663693e+01 9.082304209e+01 5.384349789e+01
3.499126476e-01 4.697673334e+01 8.159811983e+01 4.823469066e+01
3.734906082e-01 3.556496402e+01 6.124316187e+01 3.602740420e+01
3.781359836e-01 3.315267434e+01 5.697929908e+01 3.349488183e+01
3.893726361e-01 2.773658398e+01 4.743581395e+01 2.784426242e+01
3.967027940e-01 2.423638209e+01 4.130787860e+01 2.422944531e+01
4.024184586e-01 2.148222155e+01 3.651211971e+01 2.140662475e+01
4.120288564e-01 1.802005762e+01 3.047861051e+01 1.785929950e+01
4.305657647e-01 1.130116811e+01 1.892242710e+01 1.108389731e+01
4.398721796e-01 1.076584905e+01 1.792917627e+01 1.050376654e+01
4.539971679e-01 1.040196186e+01 1.717537567e+01 1.006862820e+01
4.916873362e-01 7.756786325e+00 1.249227257e+01 7.351689641e+00
5.218039840e-01 9.789791127e+00 1.542544676e+01 9.124122636e+00
5.348658302e-01 7.354966944e+00 1.147411272e+01 6.805201278e+00
5.552231248e-01 5.217599455e+00 8.010070451e+00 4.773215182e+00
5.767957032e-01 4.066529450e-01 6.133582417e-01 3.675772014e-01
5.838725648e-01 4.197026659e-01 6.292942137e-01 3.778803671e-01
5.888945133e-01 4.291210102e-01 6.406853616e-01 3.852804943e-01
5.920607450e-01 4.351267911e-01 6.479016466e-01 3.899838306e-01
5.927370423e-01 4.364164149e-01 6.494464249e-01 3.909922209e-01
7.035593572e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.133052181e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.265602306e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.428914044e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.465199671e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.477594877e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.551136029e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.565508984e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.641918147e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.679316272e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.728956636e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.789883618e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.843522329e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.942956378e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
7.968686742e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.056107155e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.330535536e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.404125386e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.436327610e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.472520152e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.673503870e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.680521385e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.738023131e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.825131210e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.897158446e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.919041416e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
8.972619735e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.042689255e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.205033889e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.305649695e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.317424474e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.318613700e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.322343549e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.394898987e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.466631406e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.893923752e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
9.912875691e-01 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.019943055e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.035908474e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.047782356e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.061196648e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.066807765e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.087142448e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.111620574e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.123374961e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.136374405e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.137680882e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.142897191e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.149279986e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.149857448e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.159288805e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.166601663e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
