# number of detected SNeIa per unit of redshift interval 
#  z_random 	 dn_dz_Graur
4.081137727e-02 2.085607276e+00
4.153287559e-02 2.389009478e+00
4.257015408e-02 2.435818735e+00
4.533782725e-02 2.642327006e+00
4.578935554e-02 2.705641162e+00
4.733230171e-02 2.720434890e+00
4.824672958e-02 2.722076321e+00
4.859990366e-02 2.872099965e+00
4.887062853e-02 3.356326970e+00
4.946374460e-02 3.370650026e+00
5.163236718e-02 3.472512157e+00
5.234961990e-02 4.102382911e+00
5.290411715e-02 4.269984453e+00
5.389561849e-02 4.544290752e+00
5.402825847e-02 4.657932534e+00
5.438204494e-02 4.666934988e+00
5.496940539e-02 5.020709703e+00
5.764982291e-02 5.046504650e+00
5.869373716e-02 5.190992088e+00
6.124330030e-02 5.247183209e+00
6.310514836e-02 5.291197061e+00
6.329833480e-02 5.522390561e+00
6.401502016e-02 5.554669925e+00
6.450851484e-02 6.040392525e+00
6.559960220e-02 6.312811121e+00
6.748409833e-02 6.484050429e+00
6.838403198e-02 6.491499479e+00
6.864029593e-02 6.717696877e+00
6.936280690e-02 6.965793379e+00
7.112099073e-02 8.163322391e+00
7.144209608e-02 8.439945120e+00
7.484212542e-02 8.552127343e+00
7.609679590e-02 8.715187990e+00
7.666494025e-02 9.058048226e+00
7.840044173e-02 9.252726660e+00
8.086523406e-02 9.262831293e+00
8.220592766e-02 9.449253292e+00
8.596661096e-02 9.669311303e+00
8.640948933e-02 1.063702718e+01
8.741536442e-02 1.087437407e+01
9.170562053e-02 1.165366988e+01
9.217542055e-02 1.288449763e+01
9.408507843e-02 1.378320286e+01
9.469080712e-02 1.487223678e+01
9.677317443e-02 1.502002581e+01
9.846652301e-02 1.636720912e+01
1.011130033e-01 1.725550229e+01
1.022653373e-01 1.735176709e+01
1.031628224e-01 1.745939567e+01
1.034519775e-01 1.797694422e+01
1.073700517e-01 1.817643322e+01
1.091633838e-01 1.920295409e+01
1.116240916e-01 1.940954021e+01
