#  mag    s2    col   pd
      -15.973015      0.42712693       1.5298002       75.330273
      -15.501297      0.23911128       1.0880350       101.09969
      -17.383501       3.0863097       1.1052248       75.919177
      -16.825915       1.8291529       1.3474212       71.624893
      -17.724645       1.1109386       1.6033714       62.648844
      -12.890110      -1.5319025       1.4091055       125.08403
      -14.876270       1.1872541       1.3635989       83.567064
      -13.990525       1.1011729      0.97807850       131.66929
      -15.714259    -0.057366489       1.9199876       91.503826
      -17.236343       2.7682804      0.66148745       97.140516
      -13.894297     -0.92731570       1.7395477       110.33826
      -15.579740       1.1894257       1.2276033       114.95702
      -15.008943      0.25770185       1.6233973       85.318961
      -14.674638      -1.6060090       1.2801562       123.19335
      -16.291400       1.0410686       1.3060187       102.35352
      -14.997654    -0.060056607       1.1732238       93.729771
      -14.737825     -0.35445924       1.6160173       81.256605
      -16.385097      0.58962965       1.3119305       114.32456
      -15.521863       1.5777678      0.87661165       117.91115
      -16.667663       1.5339755       1.1423509       105.69883
      -14.852118      0.30885340       1.5141696       97.476829
      -13.378629      -1.2706962       1.5163185       113.58919
      -13.909240     -0.37164188       1.5508324       100.21415
      -12.886571     -0.72909675       1.7821794       102.65152
      -16.918286      0.37624773       1.6794074       74.382898
      -15.910070      0.96343789       1.2734595       99.801554
      -14.040244      -2.1289250       1.7740736       106.49746
      -15.304065      0.81313555       1.6264327       86.507628
      -14.400348      0.65505859       1.2077702       116.28016
      -14.112633      -1.2189384       2.0724173       98.454954
      -16.839218       1.6914769      0.92027705       124.44228
      -14.874390      -1.0546112       1.5733364       80.173726
      -14.085186      -1.1412603       1.6763459       100.00073
      -16.248051       1.3720486       1.4191666       58.849434
      -15.003859      0.73902736       1.0489675       91.358940
      -17.319108       2.8484561      0.66443353       124.07450
      -14.503398      0.18883248       1.3397936       95.222060
      -14.510314     -0.88466049       1.0617741       132.61785
      -14.800472     -0.67133361      0.99407883       129.99593
      -15.608944      0.91603384       1.0103003       102.03389
      -15.775105      0.37223428       1.2178429       120.34923
      -15.668569     0.043023977       1.4815613       93.866286
      -15.776942      0.15572490       1.0846955       121.05125
      -17.484372       2.1912347      0.96331424       103.67814
      -16.160400      0.75729236       1.0168283       69.821476
      -15.675029      0.57466197       1.8847231       79.164273
      -15.518005       1.2357002       1.7433864       88.979026
      -15.178816     -0.37031075       1.4723817       102.74216
      -16.788037       1.8397263       1.0669390       103.21889
      -14.326856      -1.5936987       1.4341981       127.17215
      -14.547918      0.10522980       1.0775101       141.99251
      -15.296013      0.17657292       1.3339531       94.695155
      -17.277459      0.95720557       1.0141529       122.30538
      -15.585143       1.0921661       1.1661239       86.624021
      -16.590314       1.1847347       1.3331094       82.305090
      -14.979332       1.0663185      0.86509156       121.59399
      -16.928458       2.2978948      0.93443764       58.738316
      -14.541283      -1.2823409       1.1574449       120.66463
      -15.993834      0.79487931       1.2691557       74.263071
      -13.966379      0.92643129       1.6534436       65.540977
      -15.745553    -0.072128083      0.63843518       121.43771
      -16.037088       1.5332556       1.4854619       83.031415
      -15.567342       1.1674957       1.6337729       71.930175
      -15.279521      0.14889369       1.3942944       68.978159
      -16.466922      0.93037791       1.1154308       117.64350
      -15.835485      0.67621349       1.4649612       85.053426
      -15.245298     -0.91460627      0.97919814       137.61118
      -15.531730      0.39683781       1.1304172       109.07479
      -14.411551      -1.0505736       1.3615143       102.89593
      -17.262780       1.7930140       1.1534324       87.511375
      -17.224884       3.9788143      0.79639168       78.172422
      -16.350945      0.95257895       1.3727883       101.24891
      -15.879740       1.2269483       1.2135787       71.634969
      -17.055231      0.79185340      0.97874520       86.203660
      -14.807544      0.47444448       1.3692976       84.706171
      -16.678589       1.4304547      0.90414682       99.058091
      -12.903787     -0.73405587       1.6204768       124.14202
      -15.163431     -0.38288088       1.3731878       80.335525
      -14.255935      -1.0661669       1.4186839       109.24435
      -15.920963     -0.37347521      0.81589144       111.11065
      -16.167806      0.95659330      0.87225847       120.35280
      -15.483205     0.086161170       1.0258028       103.26538
      -14.690825     -0.80263601       1.8948328       82.845735
      -15.049012      0.11752879       1.3578097       90.622502
      -14.981115     -0.30673841      0.96925915       102.54896
      -13.974944     -0.23615253       1.6563624       79.137451
      -16.640084       1.9680519       1.1074566       83.545464
      -16.848077       1.8645066      0.94396071       74.432363
      -16.226550      0.50886114       1.1667394       111.32156
      -15.107925     -0.31382636       1.4709821       85.075344
      -16.756076       1.6517349       1.1590144       81.057248
      -14.566853      0.12426025       1.3147209       110.69622
      -13.567155      -1.4525705       1.6362330       117.01953
      -14.848337      0.58664551       1.4700490       80.686029
      -15.950065      0.84905510       1.1470929       101.21836
      -14.835653      0.48469643       1.4049792       113.13818
      -16.358805       1.0408504       1.4229330       67.655642
      -14.728871     0.033825006       1.1756206       108.22738
      -14.481844       1.6355069       1.4279402       90.362934
      -13.577874      0.16523077       1.3978695       105.38551
      -13.347693     -0.98594025       1.0385615       121.24176
      -17.010341       1.0074667       1.6332740       92.545523
      -15.837049       2.0690699       1.4944922       91.202307
      -17.937337       2.9483157      0.89610027       80.652600
      -15.306997      0.91673603       1.3723737       71.891749
      -15.336988      0.14146100       1.6015863       101.39386
      -16.705008       1.3064741       1.7031690       85.996315
      -14.813758     0.078357233       1.6206738       101.45300
      -15.769032      0.90049423       1.3464876       83.494156
      -15.235407      0.87038861       2.3800774       48.986801
      -13.559332      -1.0320597       1.2920192       134.32697
      -14.770884       1.1253153       1.7857912       80.501499
      -14.955718     -0.29909549       1.2234997       61.616000
      -15.406734      0.22565922       1.1089320       81.075351
      -14.168430     -0.18379520       1.2621904       106.10289
      -15.217209      0.31393843       1.0894372       109.05768
      -13.488325      -1.3244379       1.1587187       90.337368
      -17.417003       1.5208556      0.70959352       126.02693
      -14.611441     -0.53423775       1.3934751       84.909471
      -16.285577       1.7561985       1.1730646       89.522027
      -14.674629      0.24245008       1.5483417       85.509185
      -16.522822       1.5238452       1.0006326       115.63293
      -15.902317     0.052589223       1.3308706       89.861519
      -15.909063       2.1612536       1.0578847       79.271289
      -17.632290       1.6564909       1.8940616       39.403290
      -16.465449      0.66993560       1.4579581       68.932850
      -16.938810       2.1602265       1.0695441       105.39952
      -16.425013       2.5373804       1.2998995       65.490462
      -15.380520     -0.10132714       1.7615770       103.98044
      -15.452233      0.79094590       1.2037457       98.284550
      -15.108108      0.72108736       1.9215146       69.498596
      -14.615855     -0.21028489       1.4593278       113.69914
      -15.375196      0.76787490       1.3181489       96.476188
      -14.581446     -0.55264324       1.1216586       110.03971
      -16.130122      0.70959126       2.0323086       78.999370
      -16.284958       3.4010824       1.0963390       74.181382
      -16.824951       2.1325912       1.0592156       105.52008
      -14.008017      0.60066310       1.5745108       80.092908
      -15.101987      -1.2035025       1.1724085       94.526266
      -15.809813       1.0151064       1.5671662       81.924937
      -14.799916    -0.020793675       1.2149407       88.406192
      -17.059579       1.6285773       1.2577246       94.668398
      -15.264954       1.3080596       1.4546340       77.306786
      -15.443697     0.074465276       1.9440503       68.025766
      -15.872597       1.1657065       1.1640262       86.312329
      -16.122984      0.67377323       1.6159668       95.956698
      -15.942429       1.5417385       1.0624068       123.67129
      -16.198004       1.2385699       1.5818017       94.632237
      -14.879513      0.80172769       1.3209045       77.149676
      -14.466411     -0.71197723       1.2314294       97.064289
      -16.232657       2.1891275       1.2755727       98.687884
      -14.762634    -0.060693801      0.92860306       99.716857
      -14.444493      0.83256289       1.5856228       71.347056
      -15.115864      0.50070976       1.1158728       120.99990
      -15.666098     -0.65999355       1.2062860       113.07829
      -15.327697      0.47530740       1.6376971       84.966353
      -15.924542      0.30306022      0.73918887       113.65709
      -14.926190      0.96853294       1.2701474       126.62712
      -15.314731       1.0237355       1.9109521       54.573360
      -16.214081       1.6936878       1.2207327       106.12463
      -14.950306      0.64064325       1.8299208       72.743700
      -14.316070     -0.76065199       1.8233594       87.221040
      -15.062486      0.12763004       1.6095724       50.898698
      -16.070160       1.5660456       1.4884693       87.883720
      -15.794215       1.1343285       1.2705017       86.673691
      -15.066541     -0.52206588      0.79036082       108.66988
      -14.073776     -0.61630759       1.4006331       100.42671
      -13.993760     -0.61716902       1.0672696       111.58300
      -14.253978      -1.3252540       1.3911597       88.299110
      -14.824400     -0.22725619       1.0988453       128.66116
      -14.142498    -0.085002792       1.5663091       77.381490
      -15.575224      0.17146309       1.2306284       112.23648
      -15.287036    -0.044812018       1.6717191       87.181042
      -13.949113      -1.4341733       1.3317673       112.06249
      -15.418077    -0.077156316       1.6853165       77.364161
      -14.557446     -0.27756103       1.9170641       88.796363
      -16.644956       1.3334859      0.67483314       110.49357
      -15.900778       1.8892871       1.2739566       122.47013
      -14.719940      0.46967587       1.5798057       77.876286
      -14.756224      -1.2886794       1.7801064       94.853733
      -16.337695      0.36840866       1.2467812       116.46392
      -15.596699       1.2055304       1.5316878       75.279998
      -15.930523      0.44346662       1.7180137       107.08783
      -15.491545    -0.016006460       1.4626674       88.088579
      -14.472710      -1.4821072       1.3179346       100.54679
      -14.487844      0.43063441      0.77403364       109.48119
      -16.842547       1.6742594       1.0752462       95.098723
      -13.910196      0.14119424       1.1755496       101.26975
      -14.257280      0.38102112       1.2893011       74.148451
      -15.230507     -0.71201388       1.6554138       98.337475
      -16.821713       1.9983500       1.0374816       79.498558
      -15.873578      0.48636512       1.1635024       94.950604
      -15.630411       2.3534379      0.96808291       89.213953
      -15.591437      0.21973364       1.6197667       89.032955
      -16.161958     -0.52484579       1.1209672       115.00924
      -14.871424     -0.48669927       1.4530550       114.39365
      -14.266476      0.26261218       1.4273553       102.63293
      -15.359853     -0.17367333       1.3025125       99.033081
      -15.511951       1.0953897       1.5036739       69.170499
      -15.850574      0.96137347       1.5302334       94.287114
      -14.939299      0.88473705       1.3731725       94.761683
      -16.273277      0.75003346       1.2684726       108.43610
      -13.864571      -1.5978471       1.5484154       104.68605
      -15.328159       1.8160571       1.5827156       71.231942
      -15.581724      0.17517941       1.2802027       118.05862
      -16.087985      0.22429725       1.2649730       120.31869
      -15.131543     0.053529253      0.75474615       93.242064
      -14.951644      0.49412835       1.2699781       108.48737
      -16.594380       1.2927897      0.86132556       102.32960
      -14.292530      0.47889033       1.4651072       104.53052
      -16.170981      0.35514117      0.73863841       123.99533
      -16.515847      0.88514677      0.79508083       100.89993
      -15.364624      0.53181990       1.4275965       86.017668
      -14.030526      -1.0738626       1.7461232       76.897422
      -14.324814     -0.80028994       1.7491670       95.197378
      -17.426731       1.1506900       1.3030659       64.829042
      -15.350257       1.0724870       1.5544106       86.211537
      -15.960749       1.8768154       1.0166086       89.145965
      -17.202982       1.8167562       1.4925265       87.448006
      -14.710703     -0.48053553       1.3054740       115.98303
