# redshift    SN_Ia    SN_II    SN_Ibc
1.199924274174523742e+00 1.564311078631788476e-01 5.904982244957748261e-01 2.530706676410463540e-01
1.199613536994384111e+00 1.564586924105551557e-01 5.904789153126114298e-01 2.530623922768334699e-01
1.199302897574048954e+00 1.564862738480964077e-01 5.904596083063324841e-01 2.530541178455710805e-01
1.198992356639893453e+00 1.565138521724007137e-01 5.904403034793194172e-01 2.530458443482797581e-01
1.198681913652055453e+00 1.565414273764128561e-01 5.904210008365109452e-01 2.530375717870761432e-01
1.198371568267941445e+00 1.565689994532461216e-01 5.904017003827276566e-01 2.530293001640261386e-01
1.198061320438771782e+00 1.565965683942122100e-01 5.903824021240514641e-01 2.530210294817363259e-01
1.197751170115780139e+00 1.566241341909832552e-01 5.903631060663115937e-01 2.530127597427049846e-01
1.197441117250203746e+00 1.566516968363414752e-01 5.903438122145608924e-01 2.530044909490975491e-01
1.197131161793289378e+00 1.566792563235232527e-01 5.903245205735336842e-01 2.529962231029430075e-01
1.196821303696292471e+00 1.567068126460273159e-01 5.903052311477807734e-01 2.529879562061917997e-01
1.196511542910474235e+00 1.567343657981816185e-01 5.902859439412727616e-01 2.529796902605455089e-01
1.196201879387106315e+00 1.567619157738303903e-01 5.902666589583187573e-01 2.529714252678508801e-01
1.195892313857753519e+00 1.567894625693416755e-01 5.902473762014608383e-01 2.529631612291974863e-01
1.195582845674492134e+00 1.568170061769486034e-01 5.902280956761359887e-01 2.529548981469154079e-01
1.195273474597861707e+00 1.568445465894481028e-01 5.902088173873862864e-01 2.529466360231655275e-01
1.194964200579165414e+00 1.568720837981542604e-01 5.901895413412919789e-01 2.529383748605537052e-01
1.194655023569714869e+00 1.568996177950051918e-01 5.901702675434963297e-01 2.529301146614984508e-01
1.194345943520830122e+00 1.569271485733858829e-01 5.901509959986298570e-01 2.529218554279842324e-01
1.194036960383836554e+00 1.569546761271690682e-01 5.901317267109815745e-01 2.529135971618492462e-01
1.193728074110071091e+00 1.569822004498656609e-01 5.901124596850939596e-01 2.529053398650402684e-01
1.193419284650875767e+00 1.570097215350474418e-01 5.900931949254667463e-01 2.528970835394857564e-01
1.193110591957601052e+00 1.570372393762657637e-01 5.900739324366138794e-01 2.528888281871202737e-01
1.192801995981606744e+00 1.570647539670649018e-01 5.900546722230545216e-01 2.528805738098805489e-01
1.192493497335119113e+00 1.570922653034275696e-01 5.900354142876006458e-01 2.528723204089717291e-01
1.192185095501806957e+00 1.571197733780327066e-01 5.900161586353770415e-01 2.528640679865901686e-01
1.191876790230246952e+00 1.571472781843453737e-01 5.899969052709581607e-01 2.528558165446963546e-01
1.191568581471828869e+00 1.571747797139951552e-01 5.899776542002033164e-01 2.528475660858014451e-01
1.191260469177953807e+00 1.572022779592801289e-01 5.899584054285038626e-01 2.528393166122159808e-01
1.190952453300029523e+00 1.572297729132010047e-01 5.899391589607592135e-01 2.528310681260396708e-01
1.190644533789471327e+00 1.572572645690835935e-01 5.899199148016414096e-01 2.528228206292749136e-01
1.190336710597704295e+00 1.572847529204324801e-01 5.899006729556972584e-01 2.528145741238702615e-01
1.190028983676157281e+00 1.573122379608264954e-01 5.898814334274213866e-01 2.528063286117520625e-01
1.189721352976272462e+00 1.573397196840071455e-01 5.898621962211949565e-01 2.527980840947978147e-01
1.189413818449495341e+00 1.573671980841089280e-01 5.898429613411236838e-01 2.527898405747673327e-01
1.189106380047281197e+00 1.573946731547448130e-01 5.898237287916785476e-01 2.527815980535765283e-01
1.188799037818995652e+00 1.574221448898429909e-01 5.898044985771099258e-01 2.527733565330471110e-01
1.188491792257616586e+00 1.574496132850591867e-01 5.897852707004586081e-01 2.527651160144822606e-01
1.188184642665588431e+00 1.574770783324238310e-01 5.897660451673032433e-01 2.527568765002728424e-01
1.187877588994400435e+00 1.575045400250817407e-01 5.897468219824427704e-01 2.527486379924754889e-01
1.187570631195547843e+00 1.575319983546515923e-01 5.897276011517438299e-01 2.527404004936045223e-01
1.187263769220535892e+00 1.575594533137423814e-01 5.897083826803802831e-01 2.527321640058772800e-01
1.186957003020877810e+00 1.575869048961731078e-01 5.896891665726787801e-01 2.527239285311480566e-01
1.186650332548092157e+00 1.576143530955599337e-01 5.896699528331079687e-01 2.527156940713319866e-01
1.186343757753708816e+00 1.576417979054553220e-01 5.896507414661812385e-01 2.527074606283634117e-01
1.186037278589261890e+00 1.576692393194523423e-01 5.896315324763833354e-01 2.526992282041642945e-01
1.185730895006297470e+00 1.576966773312001580e-01 5.896123258681598145e-01 2.526909968006399443e-01
1.185424606956367644e+00 1.577241119343179010e-01 5.895931216459774360e-01 2.526827664197046075e-01
1.185118414391029606e+00 1.577515431224102149e-01 5.895739198143128412e-01 2.526745370632769161e-01
1.184812317261854542e+00 1.577789708892405052e-01 5.895547203775315381e-01 2.526663087332278179e-01
1.184506315520414299e+00 1.578063952285068960e-01 5.895355233400451089e-01 2.526580814314479118e-01
1.184200409118296049e+00 1.578338161342655033e-01 5.895163287060141144e-01 2.526498551597203268e-01
1.183894598557543754e+00 1.578612336023221818e-01 5.894971364783744283e-01 2.526416299193033344e-01
1.183588883271394998e+00 1.578886476249512227e-01 5.894779466625340580e-01 2.526334057125146360e-01
1.183283263169773614e+00 1.579160581954815179e-01 5.894587592631629347e-01 2.526251825413555196e-01
1.182977738204298301e+00 1.579434653059270666e-01 5.894395742858510312e-01 2.526169604082218467e-01
1.182672308326593757e+00 1.579708689489900952e-01 5.894203917357069278e-01 2.526087393153029770e-01
1.182366973488291784e+00 1.579982691179586118e-01 5.894012116174288662e-01 2.526005192646124109e-01
1.182061733641035506e+00 1.580256658063798059e-01 5.893820339355341220e-01 2.525923002580860444e-01
1.181756588736472935e+00 1.580530590078559894e-01 5.893628586945007797e-01 2.525840822976432309e-01
1.181451538726261186e+00 1.580804487160306915e-01 5.893436858987785021e-01 2.525758653851907787e-01
1.181146583562064478e+00 1.581078349250791548e-01 5.893245155524445833e-01 2.525676495224762341e-01
1.180841723195556137e+00 1.581352176289835543e-01 5.893053476597115425e-01 2.525594347113049309e-01
1.180536957578416812e+00 1.581625968214090128e-01 5.892861822250137216e-01 2.525512209535772934e-01
1.180232286662334928e+00 1.581899724960191544e-01 5.892670192527865725e-01 2.525430082511942453e-01
1.179927710399007568e+00 1.582173446464868738e-01 5.892478587474592189e-01 2.525347966060539351e-01
1.179623228740138474e+00 1.582447132665111000e-01 5.892287007134421328e-01 2.525265860200466284e-01
1.179318841637439386e+00 1.582720783497481021e-01 5.892095451551763174e-01 2.525183764950755805e-01
1.179014549042632698e+00 1.582994398898544819e-01 5.891903920771017766e-01 2.525101680330436582e-01
1.178710350907445248e+00 1.583267978804905052e-01 5.891712414836566269e-01 2.525019606358528401e-01
1.178406247183613420e+00 1.583541523153546571e-01 5.891520933792516734e-01 2.524937543053936140e-01
1.178102237822880927e+00 1.583815031880995150e-01 5.891329477683302507e-01 2.524855490435701233e-01
1.177798322948242049e+00 1.584088504934288988e-01 5.891138046545997264e-01 2.524773448519713193e-01
1.177494502559118139e+00 1.584361942254931543e-01 5.890946640421547142e-01 2.524691417323520204e-01
1.177190776378828074e+00 1.584635343773296012e-01 5.890755259358692042e-01 2.524609396868011113e-01
1.176887144359149762e+00 1.584908709420341788e-01 5.890563903405759971e-01 2.524527387173897131e-01
1.176583606451869102e+00 1.585182039123947950e-01 5.890372572613236102e-01 2.524445388262815393e-01
1.176280162608780211e+00 1.585455332818380136e-01 5.890181267027133627e-01 2.524363400154486237e-01
