# number of detected SNeII per unit of redshift interval 
#  z_sim 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
7.159505537e-06 2.191830893e-07 2.180692203e-07 2.807610752e-07
7.875456091e-05 2.652590084e-05 2.640570323e-05 3.397643306e-05
1.503569173e-04 9.670373873e-05 9.631876093e-05 1.238593208e-04
2.219655389e-04 2.107877024e-04 2.100645033e-04 2.699656362e-04
2.935813587e-04 3.688152222e-04 3.677526199e-04 4.723346871e-04
3.652066319e-04 5.708301708e-04 5.694992526e-04 7.310140209e-04
4.368381761e-04 8.168616355e-04 8.154057967e-04 1.046032243e-03
5.084759938e-04 1.106944776e-03 1.105579712e-03 1.417425725e-03
5.801229689e-04 1.441129101e-03 1.440142840e-03 1.845249200e-03
6.517774498e-04 1.819445893e-03 1.819198804e-03 2.329534057e-03
7.234382098e-04 2.241925027e-03 2.242849815e-03 2.870309874e-03
7.951059609e-04 2.708606591e-03 2.711208325e-03 3.467619295e-03
8.667833922e-04 3.219547150e-03 3.224403370e-03 4.121526041e-03
9.384671086e-04 3.774760924e-03 3.782521478e-03 4.832039626e-03
1.010157112e-03 4.374283232e-03 4.385670350e-03 5.599196561e-03
1.081856036e-03 5.018173846e-03 5.033982329e-03 6.423064639e-03
1.153562723e-03 5.706461523e-03 5.727558579e-03 7.303671950e-03
1.225275703e-03 6.439168883e-03 6.466494058e-03 8.241038731e-03
1.296995414e-03 7.216336191e-03 7.250901507e-03 9.235207783e-03
1.368725084e-03 8.038037647e-03 8.080927985e-03 1.028626530e-02
1.440461054e-03 8.904270146e-03 8.956642502e-03 1.139419860e-02
1.512203326e-03 9.815069165e-03 9.878153002e-03 1.255904431e-02
1.583954227e-03 1.077050189e-02 1.084559956e-02 1.378087964e-02
1.655713201e-03 1.177060023e-02 1.185908659e-02 1.505973663e-02
1.727478482e-03 1.281537673e-02 1.291869886e-02 1.639562258e-02
1.799250181e-03 1.390486863e-02 1.402454616e-02 1.778857638e-02
1.871032173e-03 1.503917413e-02 1.517680022e-02 1.923871479e-02
1.942820478e-03 1.621826963e-02 1.637550912e-02 2.074599889e-02
2.014615099e-03 1.744219078e-02 1.762078105e-02 2.231046546e-02
2.086418005e-03 1.871100861e-02 1.891276028e-02 2.393219655e-02
2.158229348e-03 2.002476527e-02 2.025156172e-02 2.561123721e-02
2.230047012e-03 2.138345969e-02 2.163725625e-02 2.734757731e-02
2.301871000e-03 2.278712760e-02 2.306995218e-02 2.914125372e-02
2.373705123e-03 2.423588280e-02 2.454983761e-02 3.099240303e-02
2.445545845e-03 2.572969347e-02 2.607695202e-02 3.290097580e-02
2.517392896e-03 2.726859005e-02 2.765139835e-02 3.486700208e-02
2.589247837e-03 2.885264317e-02 2.927332072e-02 3.689056332e-02
2.661111630e-03 3.048191370e-02 3.094285337e-02 3.897172842e-02
2.732981759e-03 3.215638274e-02 3.266004877e-02 4.111046443e-02
2.804858225e-03 3.387608619e-02 3.442501551e-02 4.330680834e-02
2.876744400e-03 3.564114374e-02 3.623794826e-02 4.556090419e-02
2.948637620e-03 3.745152968e-02 3.809889248e-02 4.787271029e-02
3.020537184e-03 3.930726292e-02 4.000793933e-02 5.024224194e-02
3.092444187e-03 4.120840873e-02 4.196522769e-02 5.266957361e-02
3.164360513e-03 4.315505663e-02 4.397092151e-02 5.515481072e-02
3.236283187e-03 4.514716493e-02 4.602504961e-02 5.769789118e-02
3.308212214e-03 4.718476970e-02 4.812772080e-02 6.029885216e-02
3.380150469e-03 4.926799116e-02 5.027913089e-02 6.295783823e-02
3.452096269e-03 5.139682041e-02 5.247934242e-02 6.567482914e-02
3.524048426e-03 5.357125952e-02 5.472842914e-02 6.844981862e-02
3.596007522e-03 5.579136264e-02 5.702651867e-02 7.128286689e-02
3.667976461e-03 5.805725936e-02 5.937381685e-02 7.417413039e-02
3.739951763e-03 6.036887953e-02 6.177032267e-02 7.712351070e-02
3.811933432e-03 6.272625936e-02 6.421614520e-02 8.013104511e-02
3.883923796e-03 6.512951355e-02 6.671147501e-02 8.319687101e-02
3.955922258e-03 6.757866214e-02 6.925640455e-02 8.632100503e-02
4.027927091e-03 7.007368428e-02 7.185098370e-02 8.950341163e-02
4.099938307e-03 7.261461659e-02 7.449532199e-02 9.274412859e-02
4.171959941e-03 7.520164159e-02 7.718968094e-02 9.604337972e-02
4.243987953e-03 7.783465423e-02 7.993402274e-02 9.940102209e-02
4.316022345e-03 8.051369089e-02 8.272845669e-02 1.028170932e-01
4.388064847e-03 8.323885389e-02 8.557316098e-02 1.062917144e-01
4.460116052e-03 8.601020585e-02 8.846827250e-02 1.098249567e-01
4.532173643e-03 8.882769621e-02 9.141380989e-02 1.134167465e-01
4.604237622e-03 9.169136145e-02 9.440988258e-02 1.170671215e-01
4.676311420e-03 9.460137762e-02 9.745674624e-02 1.207762970e-01
4.748392224e-03 9.755767136e-02 1.005543955e-01 1.245441706e-01
4.820479421e-03 1.005602546e-01 1.037029143e-01 1.283707484e-01
4.892574090e-03 1.036092098e-01 1.069024602e-01 1.322561264e-01
4.964678120e-03 1.067046572e-01 1.101532309e-01 1.362004490e-01
5.036788550e-03 1.098465090e-01 1.134552056e-01 1.402035951e-01
5.108905382e-03 1.130348019e-01 1.168084939e-01 1.442656026e-01
5.181031364e-03 1.162696965e-01 1.202133363e-01 1.483866669e-01
5.253165041e-03 1.195511681e-01 1.236697778e-01 1.525667476e-01
5.325305126e-03 1.228791958e-01 1.271778680e-01 1.568058091e-01
5.397451989e-03 1.262538338e-01 1.307377350e-01 1.611039113e-01
5.469608927e-03 1.296752768e-01 1.343496554e-01 1.654612930e-01
5.541772278e-03 1.331433914e-01 1.380135598e-01 1.698777754e-01
5.613942046e-03 1.366582144e-01 1.417295580e-01 1.743533962e-01
5.686120240e-03 1.402198824e-01 1.454978657e-01 1.788883203e-01
5.758306872e-03 1.438284365e-01 1.493185977e-01 1.834825909e-01
5.830499926e-03 1.474838146e-01 1.531917592e-01 1.881361200e-01
5.902699405e-03 1.511860537e-01 1.571174605e-01 1.928489454e-01
5.974908941e-03 1.549353804e-01 1.610960131e-01 1.976213465e-01
6.047125295e-03 1.587316671e-01 1.651273528e-01 2.024531519e-01
6.119348080e-03 1.625749308e-01 1.692115685e-01 2.073443739e-01
6.191578516e-03 1.664652744e-01 1.733488406e-01 2.122951345e-01
6.263818186e-03 1.704028239e-01 1.775393742e-01 2.173055848e-01
6.336064291e-03 1.743874665e-01 1.817831205e-01 2.223755723e-01
6.408316835e-03 1.784192393e-01 1.860801896e-01 2.275051348e-01
6.480578629e-03 1.824983387e-01 1.904308622e-01 2.326945134e-01
6.552848069e-03 1.866247152e-01 1.948351562e-01 2.379436355e-01
6.625123953e-03 1.907983383e-01 1.992931102e-01 2.432524535e-01
6.697406660e-03 1.950192672e-01 2.038048581e-01 2.486210334e-01
6.769699448e-03 1.992877332e-01 2.083707183e-01 2.540496602e-01
6.841998687e-03 2.036035624e-01 2.129905758e-01 2.595381037e-01
6.914304378e-03 2.079667922e-01 2.176645412e-01 2.650864021e-01
6.986618460e-03 2.123775784e-01 2.223928524e-01 2.706947444e-01
7.058941068e-03 2.168359703e-01 2.271756331e-01 2.763631841e-01
7.131270133e-03 2.213418797e-01 2.320128596e-01 2.820915997e-01
7.203605660e-03 2.258953439e-01 2.369046426e-01 2.878800296e-01
7.275951128e-03 2.304966225e-01 2.418513320e-01 2.937287946e-01
7.348303583e-03 2.351455689e-01 2.468528407e-01 2.996376989e-01
7.420662504e-03 2.398421872e-01 2.519092443e-01 3.056067388e-01
7.493028902e-03 2.445865815e-01 2.570207250e-01 3.116360371e-01
7.565404759e-03 2.493789227e-01 2.621875382e-01 3.177258019e-01
7.637787088e-03 2.542190535e-01 2.674095849e-01 3.238758239e-01
7.710175893e-03 2.591070112e-01 2.726869760e-01 3.300861415e-01
7.782573694e-03 2.640430061e-01 2.780200090e-01 3.363570124e-01
7.854979446e-03 2.690270081e-01 2.834087224e-01 3.426883891e-01
7.927391679e-03 2.740589548e-01 2.888531194e-01 3.490801833e-01
7.999810423e-03 2.791388859e-01 2.943533130e-01 3.555324358e-01
8.072239611e-03 2.842671185e-01 2.999097178e-01 3.620455404e-01
8.144675287e-03 2.894434140e-01 3.055221456e-01 3.686191844e-01
8.217117451e-03 2.946678098e-01 3.111907077e-01 3.752534064e-01
8.289567616e-03 2.999404540e-01 3.169156351e-01 3.819483850e-01
8.362026747e-03 3.052614585e-01 3.226971199e-01 3.887042528e-01
8.434492374e-03 3.106306816e-01 3.285350788e-01 3.955208209e-01
8.506964499e-03 3.160481612e-01 3.344296234e-01 4.023981278e-01
8.579446094e-03 3.215141601e-01 3.403811101e-01 4.093364980e-01
8.651935198e-03 3.270285718e-01 3.463894935e-01 4.163357867e-01
