# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
7.159505537e-06 4.143081503e-05 4.122026731e-05 5.307051841e-05
7.875456091e-05 5.013666971e-03 4.990948392e-03 6.421893878e-03
1.503569173e-04 1.827668863e-02 1.820392909e-02 2.340900435e-02
2.219655389e-04 3.983533050e-02 3.969865804e-02 5.101896467e-02
2.935813587e-04 6.969488373e-02 6.949408414e-02 8.925692084e-02
3.652066319e-04 1.078618546e-01 1.076103695e-01 1.381295735e-01
4.368381761e-04 1.543399542e-01 1.540648842e-01 1.976400426e-01
5.084759938e-04 2.091340391e-01 2.088761389e-01 2.677929137e-01
5.801229689e-04 2.722516743e-01 2.720653542e-01 3.485962389e-01
6.517774498e-04 3.436969801e-01 3.436503046e-01 4.400536579e-01
7.234382098e-04 4.234738096e-01 4.236484913e-01 5.421684680e-01
7.951059609e-04 5.115879427e-01 5.120793452e-01 6.549464317e-01
8.667833922e-04 6.080482682e-01 6.089654209e-01 7.783972884e-01
9.384671086e-04 7.128556778e-01 7.143212421e-01 9.125205415e-01
1.010157112e-03 8.260150459e-01 8.281653252e-01 1.057320790e+00
1.081856036e-03 9.475358596e-01 9.505208309e-01 1.212808536e+00
1.153562723e-03 1.077421750e+00 1.081405029e+00 1.378986782e+00
1.225275703e-03 1.215675190e+00 1.220834013e+00 1.555857053e+00
1.296995414e-03 1.362301978e+00 1.368827228e+00 1.743425125e+00
1.368725084e-03 1.517314314e+00 1.525410585e+00 1.941704962e+00
1.440461054e-03 1.680709813e+00 1.690595265e+00 2.150691868e+00
1.512203326e-03 1.852493365e+00 1.864399791e+00 2.370390454e+00
1.583954227e-03 2.032675841e+00 2.046848738e+00 2.600812978e+00
1.655713201e-03 2.221261452e+00 2.237959949e+00 2.841963178e+00
1.727478482e-03 2.418250759e+00 2.437747558e+00 3.093840126e+00
1.799250181e-03 2.623648982e+00 2.646230412e+00 3.356448849e+00
1.871032173e-03 2.837472823e+00 2.863439028e+00 3.629809050e+00
1.942820478e-03 3.059716026e+00 3.089380606e+00 3.913911083e+00
2.014615099e-03 3.290383500e+00 3.324073677e+00 4.208759574e+00
2.086418005e-03 3.529486826e+00 3.567543559e+00 4.514367674e+00
2.158229348e-03 3.777032130e+00 3.819810035e+00 4.830741561e+00
2.230047012e-03 4.033017401e+00 4.080884582e+00 5.157877012e+00
2.301871000e-03 4.297447558e+00 4.350785732e+00 5.495778661e+00
2.373705123e-03 4.570342219e+00 4.629547034e+00 5.844469923e+00
2.445545845e-03 4.851693580e+00 4.917174037e+00 6.203939166e+00
2.517392896e-03 5.141505553e+00 5.213684239e+00 6.574189737e+00
2.589247837e-03 5.439789625e+00 5.519102892e+00 6.955234653e+00
2.661111630e-03 5.746555434e+00 5.833453369e+00 7.347084568e+00
2.732981759e-03 6.061797604e+00 6.156743654e+00 7.749730955e+00
2.804858225e-03 6.385521071e+00 6.488992283e+00 8.163178462e+00
2.876744400e-03 6.717746542e+00 6.830233995e+00 8.587451874e+00
2.948637620e-03 7.058467355e+00 7.180475433e+00 9.022541020e+00
3.020537184e-03 7.407685244e+00 7.539731840e+00 9.468446454e+00
3.092444187e-03 7.765410665e+00 7.908027430e+00 9.925179864e+00
3.164360513e-03 8.131658633e+00 8.285391132e+00 1.039275876e+01
3.236283187e-03 8.506419479e+00 8.671826439e+00 1.087116912e+01
3.308212214e-03 8.889698156e+00 9.067351894e+00 1.136041562e+01
3.380150469e-03 9.281515450e+00 9.472002393e+00 1.186052312e+01
3.452096269e-03 9.681867853e+00 9.885787762e+00 1.237148547e+01
3.524048426e-03 1.009075392e+01 1.030871993e+01 1.289329916e+01
3.596007522e-03 1.050818200e+01 1.074082096e+01 1.342597319e+01
3.667976461e-03 1.093417463e+01 1.118212759e+01 1.396953462e+01
3.739951763e-03 1.136871677e+01 1.163263769e+01 1.452396262e+01
3.811933432e-03 1.181181340e+01 1.209236980e+01 1.508926185e+01
3.883923796e-03 1.226348424e+01 1.256135779e+01 1.566545581e+01
3.955922258e-03 1.272373122e+01 1.303961707e+01 1.625254528e+01
4.027927091e-03 1.319254856e+01 1.352715505e+01 1.685052123e+01
4.099938307e-03 1.366994133e+01 1.402399033e+01 1.745938843e+01
4.171959941e-03 1.415594196e+01 1.453017008e+01 1.807918657e+01
4.243987953e-03 1.465052886e+01 1.504568523e+01 1.870988646e+01
4.316022345e-03 1.515370704e+01 1.557055431e+01 1.935149279e+01
4.388064847e-03 1.566549386e+01 1.610480882e+01 2.000402603e+01
4.460116052e-03 1.618589924e+01 1.664847248e+01 2.066749713e+01
4.532173643e-03 1.671491182e+01 1.720154678e+01 2.134188996e+01
4.604237622e-03 1.725253662e+01 1.776405029e+01 2.202720921e+01
4.676311420e-03 1.779880482e+01 1.833602902e+01 2.272349296e+01
4.748392224e-03 1.835370081e+01 1.891747994e+01 2.343071962e+01
4.820479421e-03 1.891722498e+01 1.950841679e+01 2.414888801e+01
4.892574090e-03 1.948939093e+01 2.010886717e+01 2.487801379e+01
4.964678120e-03 2.007021938e+01 2.071886614e+01 2.561812166e+01
5.036788550e-03 2.065969201e+01 2.133840779e+01 2.636918659e+01
5.108905382e-03 2.125781382e+01 2.196751066e+01 2.713121329e+01
5.181031364e-03 2.186461310e+01 2.260621784e+01 2.790423609e+01
5.253165041e-03 2.248008334e+01 2.325453576e+01 2.868824501e+01
5.325305126e-03 2.310421878e+01 2.391247166e+01 2.948323104e+01
5.397451989e-03 2.373702772e+01 2.458004756e+01 3.028920304e+01
5.469608927e-03 2.437854478e+01 2.525731328e+01 3.110620344e+01
5.541772278e-03 2.502874310e+01 2.594425375e+01 3.193419631e+01
5.613942046e-03 2.568762771e+01 2.664088755e+01 3.277318639e+01
5.686120240e-03 2.635522235e+01 2.734725303e+01 3.362320220e+01
5.758306872e-03 2.703153285e+01 2.806336964e+01 3.448424947e+01
5.830499926e-03 2.771654572e+01 2.878923636e+01 3.535630933e+01
5.902699405e-03 2.841026599e+01 2.952487176e+01 3.623938651e+01
5.974908941e-03 2.911273427e+01 3.027033213e+01 3.713353098e+01
6.047125295e-03 2.982392480e+01 3.102560340e+01 3.803870825e+01
6.119348080e-03 3.054383883e+01 3.179070014e+01 3.895491825e+01
6.191578516e-03 3.127249382e+01 3.256565409e+01 3.988218146e+01
6.263818186e-03 3.200991146e+01 3.335050159e+01 4.082052380e+01
6.336064291e-03 3.275606874e+01 3.414523136e+01 4.176991430e+01
6.408316835e-03 3.351097074e+01 3.494986199e+01 4.273035771e+01
6.480578629e-03 3.427465239e+01 3.576444393e+01 4.370189675e+01
6.552848069e-03 3.504710248e+01 3.658897846e+01 4.468451549e+01
6.625123953e-03 3.582831344e+01 3.742347067e+01 4.567820257e+01
6.697406660e-03 3.661829447e+01 3.826794355e+01 4.668296801e+01
6.769699448e-03 3.741708698e+01 3.912245458e+01 4.769886275e+01
6.841998687e-03 3.822465654e+01 3.998698013e+01 4.872584131e+01
